n,timeMs,algorithm
62500,26.9994,1
62600,26.8386,1
62700,26.3408,1
62800,28.7712,1
62900,27.0668,1
63000,24.7009,1
63100,26.9272,1
63200,23.9272,1
63300,25.0089,1
63400,22.7756,1
63500,24.9008,1
63600,24.7979,1
63700,24.5454,1
63800,24.7948,1
63900,28.1608,1
64000,30.8085,1
64100,23.9413,1
64200,26.3448,1
64300,26.5043,1
64400,26.5624,1
64500,27.8975,1
64600,28.5541,1
64700,28.9945,1
64800,24.7295,1
64900,28.4484,1
65000,27.2769,1
65100,28.0839,1
65200,25.0016,1
65300,29.282,1
65400,27.5116,1
65500,25.1142,1
65600,27.5381,1
65700,26.9748,1
65800,26.8709,1
65900,25.2052,1
66000,24.8002,1
66100,25.626,1
66200,24.7362,1
66300,25.0109,1
66400,28.5223,1
66500,24.4824,1
66600,26.8756,1
66700,24.7127,1
66800,27.7426,1
66900,26.0685,1
67000,25.8188,1
67100,26.8611,1
67200,28.7888,1
67300,29.6532,1
67400,32.6389,1
67500,33.251,1
67600,34.4238,1
67700,34.2835,1
67800,30.5461,1
67900,32.4511,1
68000,30.2688,1
68100,36.806,1
68200,33.2483,1
68300,30.4821,1
68400,26.5419,1
68500,28.0844,1
68600,33.7357,1
68700,32.5092,1
68800,37.0049,1
68900,36.2538,1
69000,34.3645,1
69100,34.7927,1
69200,33.3539,1
69300,35.3803,1
69400,35.1042,1
69500,33.2065,1
69600,35.3233,1
69700,32.8245,1
69800,31.5845,1
69900,34.5229,1
70000,32.6841,1
70100,34.2178,1
70200,34.7477,1
70300,32.5847,1
70400,46.5694,1
70500,40.6974,1
70600,43.0017,1
70700,35.6308,1
70800,52.124,1
70900,74.0266,1
71000,59.0013,1
71100,69.1227,1
71200,70.5566,1
71300,79.6997,1
71400,67.6642,1
71500,70.0365,1
71600,71.3907,1
71700,75.7175,1
71800,70.7523,1
71900,76.9801,1
72000,79.599,1
72100,75.3318,1
72200,79.1667,1
72300,74.5787,1
72400,72.7273,1
72500,74.0089,1
72600,72.1603,1
72700,77.5246,1
72800,76.8301,1
72900,74.8295,1
73000,75.1852,1
73100,79.7649,1
73200,75.3798,1
73300,72.87,1
73400,75.8753,1
73500,75.9976,1
73600,79.0905,1
73700,75.1863,1
73800,73.8968,1
73900,74.8143,1
74000,74.6013,1
74100,74.6451,1
74200,75.7528,1
74300,74.2545,1
74400,74.7666,1
74500,76.1961,1
74600,75.0642,1
74700,75.6517,1
74800,72.7326,1
74900,93.8744,1
75000,81.6847,1
75100,81.6025,1
75200,82.3836,1
75300,74.584,1
75400,74.5278,1
75500,76.3742,1
75600,76.1042,1
75700,76.3601,1
75800,77.332,1
75900,76.5418,1
76000,73.8383,1
76100,77.0459,1
76200,76.2284,1
76300,75.6755,1
76400,77.3101,1
76500,77.3244,1
76600,74.9329,1
76700,76.5403,1
76800,75.1473,1
76900,85.8888,1
77000,87.9641,1
77100,98.9048,1
77200,80.6737,1
77300,74.0441,1
77400,78.673,1
77500,84.4556,1
77600,76.9478,1
77700,92.5359,1
77800,130.6216,1
77900,80.395,1
78000,69.856,1
78100,64.6842,1
78200,62.301,1
78300,57.1082,1
78400,60.4748,1
78500,50.2995,1
